"id","name","description","price","sourceURL"
"20","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","Một mẫu laptop với cấu hình đủ mạnh, thiết kế bền bỉ và đến từ thương hiệu nổi tiếng như Dell Inspiron 3520 sẽ là trợ thủ đắc lực giúp bạn xử lý đa nhiệm, sáng tạo nội dung và giải trí một cách mượt mà. Sản phẩm được trang bị loạt công nghệ tiên tiến, mang lại trải nghiệm tối ưu cho mọi nhu cầu.","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229"
"21","Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6\"FHD/RTX3050 6GB/Win11","Lenovo Gaming LOQ 15IAX9 tập hợp sức mạnh của bộ vi xử lý Intel dòng HX và RTX 3000 series trong một thiết kế mỏng nhẹ. Hệ thống tản nhiệt mới đem lại trải nghiệm gaming mạnh mẽ mà không cần phải hy sinh sự di động và tính tiện lợi của chiếc một laptop nhỏ gọn.","21190000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050"
"22","Laptop MSI Gaming Katana 15 B13UDXK-2213VN i5 13500H/16GB/1TB/15.6\"FHD/RTX3050 6GB/Win11_Balo","Sở hữu thiết kế lấy cảm hứng từ thanh kiếm Samurai sắc sảo, MSI Katana 15 B13UDXK-2213VN sẽ cùng bạn chiến đấu để đương đầu với mọi thách thức trong game. Cấu hình ấn tượng với chip Intel Core i5 13500H kết hợp cùng card đồ họa RTX 3050 sẽ đáp ứng mượt mà mọi nhu cầu giải trí và công việc của bạn.","20990000","/may-tinh-xach-tay/msi-gaming-katana-15-b13udxk-2213vn-i5-13500h"
"23","Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/24GB/512GB/15.6\"FHD/RTX4050_6GB/Win11","Bên trong diện mạo chuẩn khí chất gaming của Lenovo LOQ 15IAX9 là một sức mạnh ấn tượng đến từ vi xử lý Intel Core i5 12450HX. Việc ứng dụng hệ thống AI Engine+ và chip AI LA1 đảm bảo hiệu suất CPU và GPU luôn tối ưu và ổn định khi thực hiện các tác vụ công việc cũng như giải trí.","26490000","/may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-24gb-512gb"
"24","Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1'FHD/Nvidia RTX3050 4GB/Win11","Acer Swift X SFX16 là một sự lựa chọn đáng cân nhắc đối với người dùng sáng tạo, đồ họa, kỹ thuật nhờ hiệu năng mạnh mẽ, thiết kế mỏng nhẹ, màn hình lớn, dung lượng RAM cao cùng các tính năng phục vụ tốt cho công việc.","17990000","/may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h"
"25","Laptop Acer Aspire 7 Gaming A715-76G-73FM i7 12650H/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11","Acer Aspire 7 A715-76G-73FM là một lựa chọn đáng giá trong phân khúc laptop đa năng khi có thể vừa để làm việc, vừa để chơi game nhưng vẫn giữ được tính linh động. Bộ vi xử lý Intel Core i7 12650H kết hợp với card đồ họa RTX 2050 đủ sức mạnh để đáp ứng hoàn hảo nhu cầu thường ngày và cả nâng cao.","17490000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h"
"26","Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6\"FHD/Win 11","Lenovo V15 G4 IRU là mẫu laptop doanh nhân có cấu hình cực mạnh với bộ vi xử lý Intel Core i5 13420H, giúp chạy tốt cả những tác vụ nặng. Bạn còn được thưởng thức màn hình lớn Full HD rõ nét, âm thanh Dolby Audio sống động và những tính năng bảo mật đáng tin cậy từ Lenovo.","14990000","/may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb"
"27","Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16\"FHD/Win11","Acer Aspire Lite 16 AL16-51P-72S2 là sản phẩm mới của Acer trong phân khúc laptop văn phòng mỏng nhẹ. Màn hình 16 inch viền mỏng đem đến khung hình hiển thị rộng lớn, cùng với cấu hình phần cứng ổn định với sự góp mặt của chip Intel Core i7 1255U, RAM 16GB và ổ SSD 512GB, đáp ứng nhu cầu làm việc cũng như giải trí nhanh và mượt.","15990000","/may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u"
"28","Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 5625U/16GB/512GB/15.6\"FHD/Win 11","Lenovo Ideapad Slim 3 15ABR8 82XM00MDVN là mẫu laptop mỏng nhẹ, mạnh mẽ và đáp ứng tốt mọi nhu cầu làm việc, học tập và giải trí. Với chip AMD Ryzen 5 5625U, RAM 16GB DDR4, ổ cứng SSD 512GB cùng thiết kế bền bỉ, mẫu laptop này cung cấp hiệu suất ổn định, khả năng đa nhiệm ấn tượng và trải nghiệm sử dụng mượt mà.","12190000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00mdvn"
"29","Laptop Acer Aspire 7 Gaming A715-76G-59MW i5 12450H/8GB/512GB/15.6\"FHD/Nvidia RTX2050 4GB/Win11","Laptop Acer Aspire 7 A715-76G-59MW là lựa chọn lý tưởng cho những người muốn sử dụng laptop cho nhiều mục đích khác nhau. Từ học tập, làm việc cho tới chơi game, máy đều có thể xử lý nhanh và mượt nhờ loạt trang bị ấn tượng về cấu hình, màn hình và các khía cạnh khác.","15990000","/may-tinh-xach-tay/acer-aspire-7-a715-76g-59mw-i5-12450h"
"30","Laptop Asus TUF Gaming A15 FA506NCR-HN047W R7-7435HS/16GB/512GB/15.6\" 144Hz/Nvidia GeForce RTX3050 4GB/Win 11","Sở hữu sức mạnh phần cứng ấn tượng và thiết kế chuẩn gaming, Asus TUF FA506NCR-HN047W mang lại trải nghiệm chơi game mượt mà, tốc độ cùng năng lực đa nhiệm ấn tượng. Sản phẩm được tích hợp chip AMD Ryzen 7 7435HS mạnh mẽ, card đồ họa RTX 3050 và màn hình 144Hz.","19490000","/may-tinh-xach-tay/asus-tuf-gaming-a15-fa506ncr-hn047w-r7-7435hs"
"31","Laptop Asus Vivobook X1404ZA-NK387W i3 1215U/8GB/512GB/14\" FHD/Win11","ASUS Vivobook 14 X1404ZA-NK387W sở hữu những tính năng khó tin trong tầm giá 10 triệu đồng. Ngoài cấu hình miễn chê với bộ vi xử lý Intel thế hệ thứ 12, laptop còn có thiết kế mỏng nhẹ thời trang, màn hình Full HD và nhiều điều thú vị khác.","9990000","/may-tinh-xach-tay/asus-vivobook-x1404za-nk387w-i3-1215u"
"32","Laptop MSI Gaming Thin A15 B7UCX-240VN R5-7535HS/16GB/512GB/15.6\"FHD/RTX2050 4GB/Win11_Balo","Lên kệ với mức giá chỉ khoảng 17 triệu đồng, MSI Gaming Thin A15 B7UCX-240VN là một món hời hấp dẫn dành cho game thủ và người làm công việc sáng tạo. Chip AMD Ryzen 5 7535HS cùng card đồ họa rời RTX 2050 cung cấp hiệu năng xử lý và hiệu suất đồ họa ấn tượng để phục vụ tốt mọi nhu cầu. Thiết kế mỏng nhẹ với trọng lượng 1.86kg giúp bạn mang theo đến mọi nơi.","15490000","/may-tinh-xach-tay/msi-gaming-thin-a15-b7ucx-240vn-r5-7535hs"
"33","Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS24/OS365","Một mẫu laptop với cấu hình đủ mạnh, thiết kế bền bỉ và đến từ thương hiệu nổi tiếng như Dell Inspiron 3520 sẽ là trợ thủ đắc lực giúp bạn xử lý đa nhiệm, sáng tạo nội dung và giải trí một cách mượt mà. Sản phẩm được trang bị loạt công nghệ tiên tiến, mang lại trải nghiệm tối ưu cho mọi nhu cầu.","16490000","/may-tinh-xach-tay/dell-inspiron-15-3520-i5-1235u-71061229"
"34","Laptop Acer Aspire 7 Gaming A715-76G-5806 i5 12450H/16GB/512GB/NVIDIA RTX3050 4GB/Win11","Sức mạnh đột phá từ bộ vi xử lý Intel Gen 12 dòng H và card đồ họa RTX 3050 được tích hợp trong một thân máy mỏng nhẹ, thích hợp cho cả môi trường học tập lẫn công sở, Acer Aspire 7 Gaming A715-76G-5806 là chiếc laptop dành cho nhiều nhu cầu khác nhau, là một sản phẩm chơi game nhưng ngoại hình không gây quá nhiều chú ý.","18990000","/may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-5806-i5-12450h"
