'product_id','score','name','displayName','typePim','type','slug','price','industry','brand','productType','group','keySellingPoints','units','image','originalPrice','currentPrice','discountPercentage','endTimeDiscount','promotions','totalInventory','skus'
'"817090417472"','10.431239','Asus TUF Gaming FA507NVR-LP091W R7-7435HS','Asus TUF Gaming FA507NVR-LP091W R7-7435HS','Normal','Normal','may-tinh-xach-tay/asus-tuf-gaming-fa507nvr-lp091w-r7-7435hs','29490000','','','','','','','','29490000','26490000','10','2025-03-25T23:59:00.000+07:00','','0',''
'"957169829290"','10.416815','Asus Zenbook 14 OLED UX3405MA-PP152W Core Ultra 7-155H','Asus Zenbook 14 OLED UX3405MA-PP152W Core Ultra 7-155H','Normal','Normal','may-tinh-xach-tay/asus-zenbook-14-oled-ux3405ma-pp152w-ultra-7-155h','34990000','','','','','','','','34990000','30990000','11','2025-03-25T23:59:00.000+07:00','','0',''
'"690921025013"','10.386275','MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/512GB','MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/512GB','Normal','Normal','may-tinh-xach-tay/macbook-pro-m4-14-2024-10cpu-10gpu-16gb-512b','39990000','','','','','','','','39990000','39990000','0','null','','0',''
'"010377146540"','10.3750925','MSI Modern 14 C7M-221VN R7 7730U','MSI Modern 14 C7M-221VN R7 7730U','Normal','Normal','may-tinh-xach-tay/msii-modern-14-c7m-221vn-r7-7730u','12490000','','','','','','','','12490000','10190000','18','2025-03-25T23:59:00.000+07:00','','0',''
'"317880630994"','10.369911','Dell Vostro 15 V3530 i5 1335U','Dell Vostro 15 V3530 i5 1335U','Normal','Normal','may-tinh-xach-tay/dell-vostro-15-3530-i5-1335u','19990000','','','','','','','','19990000','18490000','8','2025-03-25T23:59:00.000+07:00','','0',''
'"35760516877"','10.362808','Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H','Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H','Normal','Normal','may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h','33790000','','','','','','','','33790000','23490000','30','2025-03-25T23:59:00.000+07:00','','0',''
'"661304126881"','10.357473','Acer Swift Go SFG14-41-R19Z R5 7530U (NX.KG3SV.001)','Acer Swift Go SFG14-41-R19Z R5 7530U (NX.KG3SV.001)','Normal','Normal','may-tinh-xach-tay/acer-swift-go-sfg14-41-r19z-r5-7530u','18490000','','','','','','','','18490000','15990000','14','2025-03-31T23:59:00.000+07:00','','0',''
'"543668006638"','10.352744','Acer Swift 3 SF314-512-741L i7 1260P (NX.K7JSV.001)','Acer Swift 3 SF314-512-741L i7 1260P (NX.K7JSV.001)','Normal','Normal','may-tinh-xach-tay/acer-swift-3-sf314-512-741l-i7-1260p','29490000','','','','','','','','29490000','18990000','36','2025-03-25T23:59:00.000+07:00','','0',''
'"05920666137"','10.348396','Acer Swift Go AI SFG14-73-53X7 Ultra 5-125H','Acer Swift Go AI SFG14-73-53X7 Ultra 5-125H','Normal','Normal','may-tinh-xach-tay/acer-swift-so-ai-sfg14-73-53x7-ultra-5-125h','24490000','','','','','','','','24490000','23290000','5','2025-03-25T23:59:00.000+07:00','','0',''
'"278366034905"','10.344262','Lenovo ThinkBook 16 G6 IRL i5-13420H (21KH00Q0VN)','Lenovo ThinkBook 16 G6 IRL i5-13420H (21KH00Q0VN)','Normal','Normal','may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-i5-13420h-21kh00q0vn','19990000','','','','','','','','19990000','17990000','10','2025-03-31T23:59:00.000+07:00','','0',''
