"id","name","description","price","sourceURL"
"88","Laptop Dell Latitude L3540 i5 1235U/16GB/512GB/15.6\" FHD/Win11","","16990000","/may-tinh-xach-tay/dell-latitude-l3540-i5-1235u-71038100"
"89","Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB","","23890000","/may-tinh-xach-tay/macbook-air-m2-13-2024-8cpu-8gpu-16gb-256gb"
"90","Laptop Dell Vostro V3520 i5-1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","15990000","/may-tinh-xach-tay/dell-vostro-15-3520-i5-1235u-i5u165w11gru"
"91","Laptop MSI Gaming Cyborg 14 A13UDX-099VN i7-13620H/16GB/512GB/14\" FHD/RTX3050 6GB/W11_Balo","","24990000","/may-tinh-xach-tay/msi-gaming-cyborg-14-a13udx-099vn-i7-13620h"
"92","Laptop Dell Vostro V3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-vostro-v3520-i5-1235u"
"93","Laptop Lenovo ThinkPad T14 Gen 4 R5 PRO 7540U/32GB/512GB/14''WUXGA/Win 11 PRO","","23490000","/may-tinh-xach-tay/lenovo-thinkpad-t14-gen-4-21k3006wvn"
"94","Laptop Lenovo ThinkBook 14 G6 IRL I5 13420H/16GB/512GB/14\" WUXGA/Win 11","","18290000","/may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13420h"
"95","Laptop HP Gaming Victus 16-r0127TX i7-13700H/AI/16GB/512GB/16.1\" 144Hz/GeForce RTX4060 8GB/Win11_8C5N2PA","","32990000","/may-tinh-xach-tay/hp-victus-16-r0127tx-8c5n2pa-i7-13700h"
"96","Laptop Dell Vostro V3520 i5-1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","15990000","/may-tinh-xach-tay/dell-vostro-15-3520-i5-1235u-i5u165w11gru"
"97","Laptop MSI Gaming Cyborg 14 A13UDX-099VN i7-13620H/16GB/512GB/14\" FHD/RTX3050 6GB/W11_Balo","","24990000","/may-tinh-xach-tay/msi-gaming-cyborg-14-a13udx-099vn-i7-13620h"
"98","Laptop Huawei MateBook D15 R7 5700U/8GB/512GB/15.6\"FHD/Win11","","10490000","/may-tinh-xach-tay/huawei-bom-wfp9i-matebook-d15-r7-5700u"
"99","Laptop HP Gaming Victus 16-r0127TX i7-13700H/AI/16GB/512GB/16.1\" 144Hz/GeForce RTX4060 8GB/Win11_8C5N2PA","","32990000","/may-tinh-xach-tay/hp-victus-16-r0127tx-8c5n2pa-i7-13700h"
"100","Laptop Gigabyte Gaming G5 MF5-H2PH353KH i7 13620H/16GB/512GB/15.6\" FHD/RTX4050 6GB/Win 11","","22990000","/may-tinh-xach-tay/gigabyte-gaming-g5-mf5-h2ph353kh-i7-13620h"
"102","Laptop MSI Modern 14 C7M-221VN R7 7730U/8GB/512GB/14\" FHD IPS/Win 11","","10190000","/may-tinh-xach-tay/msii-modern-14-c7m-221vn-r7-7730u"
"103","Laptop Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/AI/16GB/512GB/14\"WUXGA/Win 11","","21990000","/may-tinh-xach-tay/lenovo-thinkpad-e14-gen-6-21m7004jvn"
"104","Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H/AI/16GB/512GB/14\"WUXGA/OLED/Win 11","","20990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-5-125h"
"105","Laptop Lenovo IdeaPad Slim 5 14Q8X9 X1P-42-100/AI/16GB/512GB/14\"WUXGA OLED/Win11","","19990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14q8x9-83hl000kvn"
"106","Laptop Acer Swift Go SFG14-41-R19Z R5 7530U/16GB/512GB/14\"FHD/Win11","","15990000","/may-tinh-xach-tay/acer-swift-go-sfg14-41-r19z-r5-7530u"
"107","Macbook Air M2 13 inch 2022 8CPU 10GPU/16GB/256GB","","25990000","/may-tinh-xach-tay/macbook-air-m2-13-inch-2022-8cpu-10gpu-16gb-256gb"
"108","Laptop HP 15-fd1060TU Core Ultra 7-155H/AI/16GB/512GB/15.6\"FHD/Win 11","","22490000","/may-tinh-xach-tay/hp-15-fd1060tu-core-ultra-7-155h"
"109","Laptop Acer Swift Go AI SFG14-73-53X7 Intel Core Ultra 5 125H/16GB/512GB/14\" 2.8K/Intel Arc Graphics/Win11","","23290000","/may-tinh-xach-tay/acer-swift-so-ai-sfg14-73-53x7-ultra-5-125h"
"110","Laptop Asus TUF Gaming FA507NVR-LP091W R7-7435HS/AI/16GB/512GB/15.6\" 144Hz/GeForce RTX4060 8GB/Win11","","26490000","/may-tinh-xach-tay/asus-tuf-gaming-fa507nvr-lp091w-r7-7435hs"
"111","Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","16490000","/may-tinh-xach-tay/dell-inspiron-n3520-i5-1235u-n5i5203w1"
"112","Laptop MSI Modern 14 H D13MG-217VN i7-13700H/16GB/1TB/14” FHD+/Win11_Túi","","17490000","/may-tinh-xach-tay/msi-modern-14-h-d13mg-217vn-i7-13700h"
"113","Laptop ASUS Vivobook 15 OLED A1505VA-MA469W i9-13900H/16GB/512GB/15.6\" 2.8K/Win11","","22990000","/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma469w-i9-13900h"
"114","Laptop MSI Gaming Cyborg 15 A12UC-621VN i5 12450H/16GB/512GB/15.6\"FHD/RTX3050 4GB/Win11_Balo","","16990000","/may-tinh-xach-tay/msi-gaming-cyborg-15-a12uc-621vn-i5-12450h"
"115","Laptop Dell Vostro 15 V3530 i5 1335U/16GB/512GB/15.6\"FHD/Win11/Office HS21","","18490000","/may-tinh-xach-tay/dell-vostro-15-3530-i5-1335u"
"116","Laptop HP Envy x360 14-fc0162TU Core Ultra 5-125U/AI/16GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21","","27990000","/may-tinh-xach-tay/hp-envy-x360-14-fc01062tu-core-ultra-5-125u-ay8x1pa"
"117","Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra 7-155H/AI/16GB/512G/14\"WUXGA/OLED/Win 11","","24990000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra-7-155h"
"118","Laptop Asus TUF Gaming F16 FX607JU-N3139W i7-13650HX /16GB/512GB/16\" FHD+ 165Hz/Nvidia GeForce RTX4050 6GB/Win11","","29490000","/may-tinh-xach-tay/asus-tuf-gaming-f16-fx607ju-n3139w"
"119","Laptop Asus Vivobook S 14 OLED S5406SA-PP060WS U5-226V/AI/16GB/512GB/14\" 3K/W11/Office HS24/OS365","","26490000","/may-tinh-xach-tay/asus-vivobook-s-14-s5406sa-pp060ws"
"120","MacBook Air 15 inch M2 2023 8CPU 10GPU 8GB/256GB","","27490000","/may-tinh-xach-tay/macbook-air-m2-2023-15-inch"
"121","Laptop Asus Vivobook S16 OLED S5606MA-MX051W Intel Core Ultra 7-155H/AI/16GB/512GB/16\" 3.2K/Arc Graphics/Win11","","26490000","/may-tinh-xach-tay/asus-vivobook-s16-oled-s5606ma-mx051w-intel-core-ultra-7-155h"
"122","Laptop Asus Vivobook 15 OLED A1505VA-MA492W i7-13700H/16GB/512GB/15.6\" 2.8K/Win11","","20290000","/may-tinh-xach-tay/asus-vivobook-15-oled-a1505va-ma492w-i7-13700h"
"123","Laptop MSI Gaming GF63 Thin 12UC-1006VN i5 12450H/16GB/512GB/15.6\"FHD/Nvidia RTX 3050 4GB/Win11","","16690000","/may-tinh-xach-tay/msi-gaming-gf63-thin-12uc-1006vn-i5-12450h"
"124","Laptop Lenovo IdeaPad Slim 3 14IRH10 i7-13620H/16GB/512GB/14\" WUXGA/Win 11","","18490000","/may-tinh-xach-tay/lenovo-ideapad-slim-3-14irh10-83k00007vn"
"125","Laptop Acer Aspire 5 A515-58M-56YX i5 13420H/16GB/512GB/15.6\"FHD/Win11","","14990000","/may-tinh-xach-tay/acer-aspire-5-a515-58m-56yx-i5-13420h"
"126","Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 R7 7735HS/16GB/512GB/15,1\" WQXGA/Win 11","","20490000","/may-tinh-xach-tay/lenovo-ideapad-slim-5-oled-15arp10-83j3001dvn"
"127","Laptop Asus Vivobook S 14 OLED S5406SA-PP059WS U7-258V/AI/32GB/1TB/14\" 3K/W11/Office HS24/OS365","","32490000","/may-tinh-xach-tay/asus-vivobook-s-14-oled-s5406sa-pp059ws"
"128","Laptop Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370/32GB/1TB/14\" 3K/Win11","","30990000","/may-tinh-xach-tay/asus-vivobook-s-14-oled-m5406wa-pp071ws"
