'data-id','data-issetup','data-maingroup','data-subgroup','data-type','data-vehicle','data-productcode','data-price-root','data-ordertypeid','data-pos','sourceURL','data-s','data-site','data-pro','data-cache','data-sv','data-name','data-id','data-price','data-brand','data-cate','data-box','data-pos','data-color','data-productstatus','data-premium','data-promotiontype','imageURL','percent','gift','rating','unit-sold'
'325479','0','22','42','1','1','0220042002672','27990000.0','2','8','/laptop/asus-vivobook-s-16-oled-s5606ma-ultra-5-mx050w','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Vivobook S 16 OLED S5606MA Ultra 5 125H/16GB/512GB/120Hz/Win11 (MX050W)','325479','23690000.0','Asus','Laptop','BoxCate','0','Xanh Dương','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325479.jpg','-15%','Quà 2.490.000₫','4.9','• Đã bán 930'
'326875','0','22','42','1','1','0220042002736','10490000.0','2','11','/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001','Nomal','1','3','True','webtgdd-26-83','Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001)','326875','10190000.0','Acer','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326875.jpg','0%','Quà 2.390.000₫','5','• Đã bán 2,8k'
'329858','0','22','42','1','1','0220042002833','16990000.0','2','10','/laptop/asus-x1504za-i5-nj1608w','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Vivobook 15 X1504ZA i5 1235U/16GB/512GB/Win11 (NJ1608W)','329858','14690000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/329858.jpg','-13%','Quà 2.490.000₫','4.9','• Đã bán 2,4k'
'326831','0','22','42','1','1','0220042002734','28290000.0','2','13','/laptop/hp-pavilion-x360-14-ek2027tu-core-7-9z2v9pa','Nomal','1','3','True','webtgdd-26-83','Laptop HP Pavilion X360 14 ek2027TU Core 7 150U/16GB/512GB/Touch/Pen/Win11 (9Z2V9PA)','326831','27190000.0','HP','Laptop','BoxCate','0','Vàng','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/326831.jpg','0%','Quà 2.490.000₫','5','• Đã bán 395'
'334794','0','22','42','1','1','0220042003024','17990000.0','2','9','/laptop/asus-vivobook-16-x1605va-i5-mb1876ws','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Vivobook 16 X1605VA i5 13420H/16GB/512GB/OfficeHS24+365/Win11 (MB1876WS)','334794','15990000.0','Asus','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/334794.jpg','-11%','Quà 400.000₫','5','• Đã bán 92'
'334449','0','22','42','1','1','0220042002997','25290000','2','12','/laptop/lenovo-ideapad-slim-5-14ahp10-r7-83hv001mvn','Nomal','1','3','False','webtgdd-26-83','Laptop Lenovo IdeaPad Slim 5 OLED 14AHP10 R7 8845HS/32GB/512GB/OfficeHS24+365/Win11 (83HV001MVN)','334449','23990000','Lenovo','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/334449.jpg','-5%','Quà 400.000₫','5','• Đã bán 32'
'325242','0','22','42','1','1','0220042002663','16990000.0','2','14','/laptop/dell-inspiron-15-3520-i5-n5i5052w1','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (N5I5052W1)','325242','16490000.0','Dell','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/325242.jpg','0%','Quà 400.000₫','5','• Đã bán 8,6k'
'316941','0','22','42','1','1','0220042002460','20990000.0','2','15','/laptop/msi-gaming-gf63-thin-12uc-i7-887vn','Nomal','1','3','True','webtgdd-26-83','Laptop MSI Gaming GF63 Thin 12UC i7 12650H/8GB/512GB/4GB RTX3050/144Hz/Win11 (887VN)','316941','18690000.0','MSI','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/316941.jpg','-10%','Quà 2.490.000₫','4.9','• Đã bán 1,1k'
'334689','0','22','42','1','1','0220042003036','21990000.0','2','16','/laptop/gigabyte-g5-mf5-rc555-i5-9rc55mf5feiaa1vn0c0','Nomal','1','3','True','webtgdd-26-83','Laptop GIGABYTE G5 MF5 RC555 i5 13500H/16GB/512GB/6GB RTX4050/144Hz/Win11 (9RC55MF5FEIAA1VN0C0)','334689','21190000.0','GIGABYTE','Laptop','BoxCate','0','Đen','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/334689.jpg','0%','Quà 2.590.000₫','5','• Đã bán 40'
'327872','0','22','42','1','1','0220042002768','28490000.0','2','18','/laptop/asus-fa507nur-r7-lp057w','Nomal','1','3','True','webtgdd-26-83','Laptop Asus Gaming TUF A15 FA507NUR R7 7435HS/16GB/512GB/6GB RTX4050/144Hz/Win11 (LP057W)','327872','24690000.0','Asus','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/327872.jpg','-13%','Quà 2.490.000₫','5','• Đã bán 633'
'330075','0','22','42','1','1','0220042002844','15690000.0','2','17','/laptop/dell-inspiron-15-3520-i5-n3520-i5u085w11slu','Nomal','1','3','True','webtgdd-26-83','Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U085W11SLU)','330075','14490000.0','Dell','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/330075.jpg','-7%','Quà 400.000₫','5','• Đã bán 951'
'328235','0','22','42','1','1','0220042002791','22490000.0','154','19','/laptop/asus-gaming-tuf-f15-fx507zc4-i5-hn330w','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Asus TUF Gaming F15 FX507ZC4 i5 12500H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN330W)','328235','20490000.0','Asus','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/328235.jpg','-8%','Quà 2.490.000₫','4.9','• Đã bán 1,5k'
'333423','0','22','42','1','1','0220042002980','14790000.0','154','20','/laptop/acer-aspire-lite-16-g2-al16-52p-572a-i5-nxj2ssv004','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop Acer Aspire Lite 16 G2 AL16 52P 572A i5 1334U/16GB/512GB/Win11 (NX.J2SSV.004)','333423','14290000.0','Acer','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/333423.jpg','0%','Quà 2.390.000₫','4.9','• Đã bán 398'
'331506','0','22','42','1','1','0220042002853','29890000.0','154','2','/laptop/hp-envy-x360-14-fc0162tu-ultra-5-ay8x1pa','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop HP Envy x360 14 fc0162TU Ultra 5 125U/16GB/512GB/Touch/Pen/OfficeHS/Win11 (AY8X1PA)','331506','27890000.0','HP','Laptop','BoxCate','0','Bạc','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/331506.jpg','-6%','Quà 2.490.000₫','4.9','• Đã bán 172'
'322100','0','22','42','1','1','0220042002571','39990000.0','154','3','/laptop/msi-gaming-sword-16-hx-b14vfkg-i7-045vn','TwoPriceDetail','1','3','True','webtgdd-26-83','Laptop MSI Gaming Sword 16 HX B14VFKG i7 14700HX/16GB/1TB/8GB RTX4060/240Hz/Balo/Win11 (045VN)','322100','35590000.0','MSI','Laptop','BoxCate','0','Xám','','False','','/D:/Shopping-Recommendation-System/target/classes/com/project/shoppingrecommendationsystem/data/TGDD/images/322100.jpg','-11%','Quà 2.490.000₫','4.9','• Đã bán 159'
